SnapshotDate,StoreID,ProductID,OnHandUnits,ReorderPoint,StockoutFlag
2024-07-11,20,195,105,34,0
2024-04-05,2,288,106,40,0
2024-04-06,20,232,94,24,0
2024-07-22,10,392,193,19,0
2024-01-31,4,56,142,29,0
2024-03-27,28,198,38,20,0
2024-05-31,7,224,178,48,0
2024-04-30,3,17,133,33,0
2024-08-25,17,17,116,58,0
2024-11-02,24,394,221,14,0
2024-05-08,6,126,190,25,0
2024-10-18,25,320,34,40,0
2024-07-22,23,122,71,40,0
2024-04-06,13,170,111,23,0
2024-01-17,26,386,223,16,0
2024-09-27,6,311,50,16,0
2024-07-18,29,70,245,29,0
2024-08-01,27,186,151,45,0
2024-05-19,15,223,46,10,0
2024-04-04,8,69,243,22,0
2024-05-31,21,120,199,17,0
2024-06-18,21,116,79,28,0
2024-03-29,7,387,180,45,0
2024-10-21,18,106,236,58,0
2024-10-27,26,210,107,30,0
2024-11-10,30,299,155,45,0
2024-01-02,9,204,95,36,0
2024-09-05,7,218,63,44,0
2024-12-05,19,164,88,53,0
2024-04-17,14,385,125,45,0
2024-06-25,1,111,204,43,0
2024-02-23,11,21,170,10,0
2024-06-15,18,249,72,10,0
2024-09-12,30,71,96,32,0
2024-11-15,30,25,181,49,0
2024-04-10,17,31,216,18,0
2024-10-27,11,245,68,57,0
2024-12-14,27,202,0,51,1
2024-07-22,25,289,127,53,0
2024-08-12,3,300,36,28,0
2024-08-20,5,170,244,55,0
2024-07-14,1,388,217,15,0
2024-10-01,10,89,241,51,0
2024-06-30,27,166,203,48,0
2024-02-07,26,117,206,35,0
2024-07-14,20,160,16,35,0
2024-02-17,24,172,186,59,0
2024-06-24,22,97,209,34,0
2024-11-04,4,13,208,48,0
2024-09-30,23,298,124,31,0
2024-04-02,24,155,198,34,0
2024-02-26,6,100,177,52,0
2024-09-25,8,163,73,40,0
2024-05-01,18,76,107,10,0
2024-05-31,22,162,12,11,0
2024-01-24,24,108,198,56,0
2024-05-20,11,352,164,11,0
2024-11-16,16,179,196,54,0
2024-10-16,7,333,79,17,0
2024-08-25,29,223,197,44,0
2024-07-13,23,16,173,21,0
2024-05-28,21,319,87,27,0
2024-11-28,23,328,188,57,0
2024-09-05,25,346,114,43,0
2024-04-07,8,230,183,22,0
2024-07-05,18,15,8,46,0
2024-06-26,12,44,213,57,0
2024-04-24,2,190,110,13,0
2024-03-06,22,228,43,31,0
2024-11-14,9,17,191,22,0
2024-04-03,9,256,229,56,0
2024-01-10,25,156,62,45,0
2024-05-13,4,65,212,26,0
2024-03-18,18,38,238,33,0
2024-04-12,11,348,104,22,0
2024-07-09,21,125,221,37,0
2024-11-20,12,175,230,42,0
2024-03-31,22,157,60,57,0
2024-09-12,21,400,105,21,0
2024-09-15,30,139,139,40,0
2024-12-11,16,123,210,39,0
2024-11-21,25,214,230,16,0
2024-11-30,3,380,43,19,0
2024-10-07,8,253,47,38,0
2024-06-17,7,14,79,17,0
2024-02-03,21,26,172,20,0
2024-09-10,9,98,72,47,0
2024-03-30,5,395,214,31,0
2024-08-28,22,23,134,45,0
2024-03-30,9,4,56,40,0
2024-10-13,24,291,103,53,0
2024-01-13,10,349,15,14,0
2024-05-02,30,81,87,38,0
2024-12-06,15,70,242,50,0
2024-08-22,7,159,234,56,0
2024-11-25,10,284,118,28,0
2024-02-16,3,42,187,21,0
2024-05-11,9,9,35,23,0
2024-12-15,19,312,119,16,0
2024-11-29,6,262,216,52,0
2024-04-17,8,6,103,55,0
2024-02-13,5,252,84,48,0
2024-08-28,21,69,235,57,0
2024-05-07,23,274,165,47,0
2024-06-02,12,49,198,10,0
2024-06-21,2,361,104,50,0
2024-03-17,10,171,246,48,0
2024-03-29,29,378,150,29,0
2024-09-26,16,79,4,50,0
2024-10-27,8,294,205,51,0
2024-11-17,11,160,88,14,0
2024-02-23,4,53,147,18,0
2024-03-30,21,344,228,51,0
2024-01-17,2,302,140,55,0
2024-06-13,2,140,180,39,0
2024-04-25,14,198,227,22,0
2024-10-02,5,307,81,27,0
2024-06-16,23,192,199,55,0
2024-10-24,16,101,209,40,0
2024-05-31,7,382,98,42,0
2024-04-12,10,386,21,35,0
2024-12-12,19,246,182,54,0
2024-12-30,26,161,46,44,0
2024-06-27,4,263,18,45,0
2024-06-13,27,349,181,21,0
2024-10-17,9,54,165,27,0
2024-03-08,18,179,173,52,0
2024-09-03,5,311,155,14,0
2024-11-01,17,221,12,55,0
2024-10-12,17,50,35,46,0
2024-08-06,11,54,121,49,0
2024-08-09,10,377,123,24,0
2024-06-29,19,113,116,38,0
2024-02-04,26,19,16,22,0
2024-12-30,20,257,84,34,0
2024-07-14,1,11,35,45,0
2024-06-29,26,290,76,42,0
2024-01-31,29,175,221,16,0
2024-07-27,4,157,154,26,0
2024-04-18,20,387,200,20,0
2024-08-29,15,314,33,22,0
2024-11-14,13,205,32,10,0
2024-11-18,22,242,63,58,0
2024-06-23,3,289,59,39,0
2024-12-03,19,267,231,27,0
2024-12-26,11,148,187,54,0
2024-04-17,9,5,194,57,0
2024-06-08,9,252,229,32,0
2024-06-20,17,308,233,18,0
2024-11-17,24,3,222,30,0
2024-10-29,4,364,21,38,0
2024-07-26,22,114,202,58,0
2024-10-11,2,265,184,35,0
2024-02-16,10,25,143,20,0
2024-07-14,4,240,191,50,0
2024-07-22,6,49,148,56,0
2024-08-23,16,230,45,55,0
2024-09-22,23,108,242,35,0
2024-02-25,1,291,144,35,0
2024-02-05,1,41,186,31,0
2024-12-03,13,325,58,44,0
2024-05-19,13,122,21,19,0
2024-03-07,19,62,104,44,0
2024-01-18,22,227,54,11,0
2024-11-27,26,388,48,30,0
2024-12-19,25,248,128,12,0
2024-04-23,8,342,61,26,0
2024-09-04,21,45,35,22,0
2024-11-03,28,91,147,38,0
2024-11-27,29,74,169,26,0
2024-11-15,21,129,137,46,0
2024-11-18,30,228,53,24,0
2024-02-13,14,281,247,54,0
2024-10-11,20,359,48,24,0
2024-04-04,18,253,41,39,0
2024-07-04,28,344,103,50,0
2024-08-06,26,333,28,33,0
2024-08-10,1,318,222,55,0
2024-09-27,18,232,150,12,0
2024-12-09,26,281,179,26,0
2024-11-17,15,359,206,26,0
2024-06-11,29,99,32,54,0
2024-10-04,28,140,158,10,0
2024-01-21,4,356,238,13,0
2024-07-30,17,335,93,53,0
2024-09-06,1,360,120,14,0
2024-09-03,1,316,120,55,0
2024-07-22,18,226,183,27,0
2024-01-10,23,393,204,27,0
2024-09-01,10,128,70,42,0
2024-04-27,21,183,87,48,0
2024-10-12,26,264,139,44,0
2024-12-03,30,179,247,22,0
2024-08-27,29,263,245,41,0
2024-07-11,7,146,38,14,0
2024-05-04,16,372,130,14,0
2024-05-29,7,61,12,10,0
2024-01-29,20,270,172,50,0
2024-09-13,4,312,150,50,0
2024-03-14,21,104,69,15,0
2024-02-16,15,370,125,15,0
2024-10-05,27,307,184,41,0
2024-08-20,30,64,156,51,0
2024-12-19,10,235,35,23,0
2024-03-20,30,339,72,57,0
2024-06-27,1,342,48,17,0
2024-09-12,13,10,231,25,0
2024-12-17,5,132,157,54,0
2024-06-09,16,220,222,42,0
2024-08-16,13,79,245,18,0
2024-12-13,22,153,38,40,0
2024-01-10,27,5,210,33,0
2024-09-24,25,158,89,23,0
2024-03-06,11,256,196,10,0
2024-09-22,25,173,118,36,0
2024-08-23,21,364,61,44,0
2024-01-24,13,224,42,59,0
2024-03-20,25,19,124,37,0
2024-07-27,18,184,114,25,0
2024-11-18,15,132,102,38,0
2024-03-12,1,136,100,30,0
2024-04-05,18,294,237,11,0
2024-04-06,20,57,49,48,0
2024-12-15,30,383,66,44,0
2024-06-02,27,299,155,37,0
2024-06-07,4,180,21,40,0
2024-02-23,19,27,146,19,0
2024-10-23,4,222,80,54,0
2024-06-26,13,283,152,32,0
2024-07-04,16,328,112,18,0
2024-04-02,29,300,181,32,0
2024-08-25,23,97,19,41,0
2024-10-02,11,56,229,31,0
2024-12-02,12,104,152,32,0
2024-03-20,24,321,1,53,0
2024-10-16,28,393,175,18,0
2024-04-29,5,399,133,17,0
2024-07-18,3,158,92,47,0
2024-03-27,4,117,206,58,0
2024-08-21,25,370,182,42,0
2024-07-12,22,346,76,32,0
2024-03-29,24,298,144,59,0
2024-04-18,23,106,41,14,0
2024-01-31,15,143,172,55,0
2024-05-12,17,140,227,54,0
2024-10-10,25,231,54,14,0
2024-02-04,20,99,31,16,0
2024-08-21,15,373,100,42,0
2024-07-14,6,124,90,39,0
2024-01-02,15,194,117,41,0
2024-08-19,7,207,106,28,0
2024-08-08,20,184,122,20,0
2024-01-31,30,293,92,27,0
2024-07-16,1,183,190,31,0
2024-03-08,8,345,96,10,0
2024-11-20,15,292,23,30,0
2024-10-25,6,127,244,29,0
2024-08-12,15,116,174,47,0
2024-07-11,19,144,244,38,0
2024-10-06,4,1,124,59,0
2024-10-11,9,225,173,28,0
2024-02-11,18,313,128,50,0
2024-06-24,7,282,67,30,0
2024-01-25,22,354,239,17,0
2024-12-22,5,389,247,44,0
2024-04-30,14,334,178,42,0
2024-03-13,3,4,36,53,0
2024-01-18,1,253,181,51,0
2024-03-27,27,95,110,39,0
2024-06-10,16,181,141,20,0
2024-07-26,12,8,180,54,0
2024-05-28,3,170,120,43,0
2024-11-22,16,7,220,16,0
2024-08-06,14,98,0,47,1
2024-06-24,4,80,39,10,0
2024-02-29,6,291,57,18,0
2024-05-05,1,172,27,26,0
2024-05-02,12,98,97,50,0
2024-01-23,1,121,13,11,0
2024-02-22,7,155,165,23,0
2024-10-02,24,235,84,51,0
2024-02-12,20,38,121,31,0
2024-10-03,25,171,39,48,0
2024-12-04,17,148,21,52,0
2024-02-05,28,131,148,12,0
2024-10-25,2,31,36,47,0
2024-07-30,10,306,10,59,0
2024-11-07,16,201,82,56,0
2024-05-04,14,222,196,54,0
2024-11-28,28,236,117,35,0
2024-06-03,9,399,208,37,0
2024-07-24,1,274,117,48,0
2024-10-17,14,216,5,19,0
2024-11-06,28,174,103,32,0
2024-09-18,14,263,161,51,0
2024-11-09,5,206,50,14,0
2024-09-10,8,260,13,58,0
2024-02-29,16,312,6,58,0
2024-07-22,29,339,166,13,0
2024-08-05,16,41,199,42,0
2024-02-20,15,144,107,27,0
2024-08-01,20,212,188,40,0
2024-12-01,4,160,195,42,0
2024-02-07,25,167,207,18,0
2024-11-02,26,8,178,45,0
2024-07-09,24,36,229,48,0
2024-02-05,6,324,237,48,0
2024-11-12,26,161,81,41,0
2024-05-28,30,206,105,32,0
2024-09-03,5,11,242,56,0
2024-03-08,23,177,228,30,0
2024-03-03,28,321,66,31,0
2024-12-27,28,171,98,44,0
2024-03-11,21,353,45,58,0
2024-10-20,1,103,151,47,0
2024-02-26,29,154,166,45,0
2024-09-23,2,236,161,32,0
2024-10-23,21,304,62,15,0
2024-05-17,21,236,42,38,0
2024-02-17,17,245,152,38,0
2024-12-17,13,169,19,45,0
2024-07-01,24,337,47,45,0
2024-04-27,12,316,92,59,0
2024-04-09,25,288,237,12,0
2024-12-05,20,224,76,39,0
2024-09-27,6,146,47,22,0
2024-02-16,11,72,206,34,0
2024-09-23,19,382,142,10,0
2024-05-19,11,306,178,29,0
2024-04-28,16,218,226,15,0
2024-10-11,10,63,128,37,0
2024-03-02,16,338,112,29,0
2024-08-12,26,295,131,23,0
2024-08-05,1,143,176,38,0
2024-03-08,26,180,137,36,0
2024-04-21,8,36,204,40,0
2024-08-06,16,171,214,16,0
2024-11-30,18,213,15,28,0
2024-01-28,24,337,98,25,0
2024-10-21,24,133,128,27,0
2024-02-26,7,349,98,33,0
2024-09-05,29,147,220,57,0
2024-01-23,12,224,221,42,0
2024-08-12,18,275,217,16,0
2024-04-04,17,333,102,35,0
2024-05-14,19,308,39,40,0
2024-10-13,3,46,66,44,0
2024-10-25,9,221,233,42,0
2024-05-25,10,129,127,57,0
2024-04-17,7,240,74,30,0
2024-12-07,1,338,146,40,0
2024-02-17,24,377,37,49,0
2024-02-26,19,237,84,42,0
2024-06-19,6,397,124,47,0
2024-01-27,8,130,83,13,0
2024-09-04,20,202,56,10,0
2024-04-03,20,387,144,16,0
2024-05-10,28,328,222,53,0
2024-05-17,2,143,154,12,0
2024-10-20,26,214,151,35,0
2024-03-26,16,129,99,10,0
2024-06-27,10,25,12,39,0
2024-02-22,29,186,192,30,0
2024-05-24,25,270,69,57,0
2024-12-04,24,103,214,55,0
2024-06-28,10,341,99,58,0
2024-09-13,29,383,180,53,0
2024-05-27,15,111,52,36,0
2024-03-05,7,117,57,47,0
2024-10-06,16,99,162,29,0
2024-10-14,29,49,69,30,0
2024-11-08,7,250,208,20,0
2024-11-06,6,257,68,10,0
2024-02-24,10,314,27,37,0
2024-02-15,26,8,84,57,0
2024-04-27,14,158,49,42,0
2024-09-19,20,233,80,25,0
2024-09-14,12,378,42,13,0
2024-11-20,21,345,3,46,0
2024-02-10,20,365,201,22,0
2024-03-04,25,150,211,13,0
2024-11-06,27,151,112,10,0
2024-11-18,4,349,234,26,0
2024-01-25,8,69,183,30,0
2024-12-27,20,117,207,26,0
2024-06-06,22,74,129,38,0
2024-01-15,18,357,123,37,0
2024-06-28,19,64,139,47,0
2024-08-24,14,349,0,43,1
2024-06-08,1,375,76,33,0
2024-11-27,10,185,79,10,0
2024-03-06,24,175,26,31,0
2024-06-12,1,320,138,36,0
2024-07-14,25,90,56,12,0
2024-01-14,6,35,34,22,0
2024-03-25,22,340,168,53,0
2024-12-09,3,334,45,44,0
2024-12-15,21,83,176,54,0
2024-11-16,15,92,100,34,0
2024-03-06,24,300,10,56,0
2024-12-22,7,182,217,29,0
2024-12-09,27,267,27,59,0
2024-07-17,23,34,195,42,0
2024-03-06,25,138,29,41,0
2024-03-10,1,323,59,29,0
2024-02-27,9,175,165,53,0
2024-11-26,29,110,145,13,0
2024-06-07,28,91,156,23,0
2024-05-12,10,75,191,41,0
2024-10-28,19,329,174,10,0
2024-01-20,16,147,28,53,0
2024-07-08,10,193,134,48,0
2024-03-27,13,387,174,15,0
2024-01-26,4,23,91,38,0
2024-05-31,28,171,207,36,0
2024-05-07,15,239,25,57,0
2024-09-24,21,219,55,44,0
2024-10-25,11,93,83,33,0
2024-12-07,1,25,193,35,0
2024-04-10,9,70,4,31,0
2024-12-24,24,90,109,55,0
2024-11-24,22,1,22,27,0
2024-02-14,16,82,41,27,0
2024-07-04,2,245,0,25,1
2024-05-22,12,116,114,24,0
2024-01-04,1,76,135,57,0
2024-02-24,22,354,35,39,0
2024-05-22,18,75,125,14,0
2024-05-14,7,190,190,51,0
2024-07-07,15,88,231,32,0
2024-06-21,14,332,18,22,0
2024-02-07,17,216,119,24,0
2024-06-03,26,264,246,18,0
2024-04-20,24,205,230,53,0
2024-08-27,3,151,239,21,0
2024-02-14,2,120,245,57,0
2024-02-09,20,61,174,26,0
2024-09-10,23,229,4,20,0
2024-11-03,19,197,150,55,0
2024-12-02,5,116,47,26,0
2024-02-29,10,255,192,45,0
2024-03-03,4,279,4,40,0
2024-06-12,16,8,10,25,0
2024-09-22,28,377,131,55,0
2024-12-27,9,224,127,58,0
2024-12-08,24,83,222,30,0
2024-02-11,24,58,217,46,0
2024-01-23,17,227,189,28,0
2024-02-21,24,240,82,12,0
2024-06-27,7,91,94,27,0
2024-10-05,25,318,241,45,0
2024-01-09,3,194,164,29,0
2024-02-27,16,63,119,42,0
2024-10-24,6,63,143,17,0
2024-08-27,8,336,63,37,0
2024-08-21,20,394,229,20,0
2024-11-03,1,102,94,11,0
2024-06-20,23,153,69,34,0
2024-03-22,11,361,244,42,0
2024-02-08,19,380,151,29,0
2024-03-23,2,105,198,18,0
2024-01-14,7,68,209,12,0
2024-04-15,10,107,166,31,0
2024-06-10,22,78,189,53,0
2024-07-22,6,35,60,10,0
2024-02-28,15,215,205,10,0
2024-11-18,11,15,158,39,0
2024-10-13,15,316,145,33,0
2024-10-12,7,222,6,49,0
2024-09-19,9,97,167,53,0
2024-05-25,5,127,120,12,0
2024-09-05,28,36,92,36,0
2024-10-02,4,65,225,41,0
2024-07-27,7,277,59,41,0
2024-12-20,9,392,248,57,0
2024-10-31,20,180,208,28,0
2024-05-17,30,168,52,55,0
2024-11-15,19,266,135,26,0
2024-02-16,21,58,187,37,0
2024-01-18,17,260,140,59,0
2024-02-21,4,126,103,20,0
2024-02-21,8,107,19,56,0
2024-11-17,7,256,200,55,0
2024-12-10,23,186,193,30,0
2024-11-09,11,280,223,28,0
2024-09-08,23,63,195,40,0
2024-02-25,23,311,82,28,0
2024-12-13,24,252,41,22,0
2024-03-23,6,359,207,17,0
2024-03-31,12,324,192,47,0
2024-01-10,10,120,15,19,0
2024-05-23,8,226,240,11,0
2024-08-28,1,283,206,13,0
2024-01-19,27,112,212,38,0
2024-01-06,23,124,172,46,0
2024-07-19,30,155,4,51,0
2024-06-23,13,47,242,30,0
2024-06-02,4,279,10,14,0
2024-03-20,26,341,150,49,0
2024-01-15,15,205,154,56,0
2024-08-25,4,196,235,20,0
2024-01-29,3,358,191,33,0
2024-08-02,11,64,137,30,0
2024-11-13,2,103,205,32,0
2024-08-20,6,378,157,18,0
2024-02-20,25,286,187,31,0
2024-03-27,1,26,245,46,0
2024-01-14,16,39,96,13,0
2024-04-24,7,47,7,12,0
2024-11-27,25,185,147,38,0
2024-05-21,17,216,74,37,0
2024-08-06,23,186,143,38,0
2024-02-14,7,322,101,16,0
2024-04-11,4,132,185,16,0
2024-10-10,16,97,151,58,0
2024-10-28,18,368,146,22,0
2024-11-27,8,30,203,40,0
2024-06-10,28,266,106,30,0
2024-12-10,14,175,58,21,0
2024-08-15,2,50,177,37,0
2024-10-09,29,30,84,10,0
2024-06-01,27,61,81,24,0
2024-01-19,26,9,168,42,0
2024-04-10,25,42,21,24,0
2024-07-22,20,112,204,25,0
2024-11-18,17,254,48,17,0
2024-05-01,3,115,10,10,0
2024-09-28,20,116,190,44,0
2024-12-07,9,354,235,43,0
2024-06-15,1,216,36,18,0
2024-12-20,9,212,134,57,0
2024-02-09,24,33,50,19,0
2024-10-20,23,184,209,18,0
2024-11-26,21,395,67,53,0
2024-07-29,22,6,188,43,0
2024-07-09,6,77,238,33,0
2024-03-11,19,26,73,55,0
2024-05-21,9,399,156,15,0
2024-02-11,2,50,4,23,0
2024-07-27,15,352,177,51,0
2024-07-12,8,244,80,59,0
2024-01-21,20,94,65,46,0
2024-05-31,24,147,17,40,0
2024-08-26,7,155,71,37,0
2024-02-02,14,9,120,31,0
2024-01-13,11,350,142,45,0
2024-03-14,15,306,70,41,0
2024-10-02,23,66,216,24,0
2024-02-18,12,153,28,11,0
2024-10-16,5,200,43,40,0
2024-01-30,12,29,218,17,0
2024-06-03,20,361,231,48,0
2024-04-11,27,273,27,27,0
2024-07-10,7,272,31,47,0
2024-04-29,24,289,155,31,0
2024-04-04,17,351,182,55,0
2024-05-20,19,394,172,40,0
2024-03-01,5,397,197,21,0
2024-11-18,3,176,97,41,0
2024-04-23,24,273,249,56,0
2024-05-28,28,336,38,29,0
2024-09-02,16,277,54,19,0
2024-11-06,26,140,18,44,0
2024-10-28,20,207,11,11,0
2024-10-25,14,103,97,44,0
2024-03-19,29,258,41,12,0
2024-01-07,13,64,29,32,0
2024-05-25,17,249,35,29,0
2024-03-14,11,15,227,44,0
2024-02-15,1,96,127,34,0
2024-06-11,30,298,67,25,0
2024-06-07,13,382,183,15,0
2024-05-10,1,69,99,56,0
2024-04-09,6,88,226,28,0
2024-06-21,1,6,189,34,0
2024-06-01,29,160,237,22,0
2024-07-15,15,85,130,32,0
2024-04-04,2,189,91,51,0
2024-05-24,12,319,173,48,0
2024-12-26,15,246,32,42,0
2024-11-24,19,222,160,49,0
2024-07-20,3,50,176,42,0
2024-09-12,7,92,139,56,0
2024-01-03,11,46,17,15,0
2024-02-09,18,251,207,55,0
2024-01-10,16,150,163,47,0
2024-07-22,10,100,95,43,0
2024-08-10,15,341,135,28,0
2024-01-19,10,230,17,40,0
2024-04-25,13,242,48,53,0
2024-08-09,26,190,16,35,0
2024-04-01,9,184,180,48,0
2024-08-09,23,194,24,15,0
2024-03-18,27,393,173,49,0
2024-06-16,15,198,156,51,0
2024-01-08,15,223,6,46,0
2024-07-16,2,357,95,48,0
2024-03-05,15,270,208,24,0
2024-06-17,19,160,58,52,0
2024-12-21,8,383,209,13,0
2024-01-31,9,147,56,50,0
2024-01-19,28,113,60,48,0
2024-08-07,22,273,28,55,0
2024-02-26,9,334,84,18,0
2024-11-24,8,376,80,36,0
2024-11-20,25,298,243,30,0
2024-08-20,16,265,133,59,0
2024-06-24,2,65,202,10,0
2024-05-04,11,68,199,37,0
2024-05-04,18,400,71,39,0
2024-05-06,12,99,77,24,0
2024-04-05,12,346,145,34,0
2024-05-11,5,80,101,33,0
2024-11-10,16,298,216,27,0
2024-07-04,21,11,237,26,0
2024-01-16,8,281,2,10,0
2024-03-06,12,336,233,34,0
2024-06-12,9,205,97,30,0
2024-06-18,3,53,90,30,0
2024-04-11,20,262,242,53,0
2024-09-11,20,317,196,12,0
2024-08-29,28,200,105,55,0
2024-10-30,19,172,230,19,0
2024-07-06,25,337,72,40,0
2024-11-28,15,285,188,21,0
2024-08-30,15,175,20,41,0
2024-06-19,12,225,90,26,0
2024-01-31,29,366,129,45,0
2024-07-16,12,78,198,51,0
2024-11-20,4,206,94,34,0
2024-08-14,1,80,184,29,0
2024-04-23,29,216,205,19,0
2024-09-01,15,39,68,19,0
2024-12-20,14,395,123,51,0
2024-08-01,10,83,133,55,0
2024-01-27,5,203,239,39,0
2024-06-24,11,370,19,26,0
2024-11-16,17,112,126,24,0
2024-12-04,25,225,50,38,0
2024-12-06,21,351,225,35,0
2024-01-20,20,350,209,29,0
2024-03-13,12,259,52,25,0
2024-07-15,11,283,20,46,0
2024-11-09,14,190,127,49,0
2024-02-25,7,302,1,40,0
2024-07-20,6,296,37,56,0
2024-09-11,26,314,240,28,0
2024-07-18,25,379,26,46,0
2024-09-04,9,213,89,23,0
2024-09-27,24,305,8,41,0
2024-01-16,29,69,149,42,0
2024-07-28,6,330,86,22,0
2024-02-23,28,44,247,52,0
2024-05-21,12,100,216,41,0
2024-05-03,6,94,222,45,0
2024-07-01,25,43,97,19,0
2024-11-21,11,103,236,38,0
2024-12-04,28,395,78,12,0
2024-11-01,29,359,78,51,0
2024-06-05,3,285,122,52,0
2024-03-04,13,260,149,14,0
2024-06-21,22,40,242,41,0
2024-01-01,19,111,192,27,0
2024-11-10,25,349,16,30,0
2024-08-03,25,327,85,25,0
2024-10-11,15,85,202,44,0
2024-07-24,18,210,199,39,0
2024-04-15,7,43,84,54,0
2024-06-30,7,163,129,57,0
2024-04-20,26,193,208,49,0
2024-06-07,9,145,232,26,0
2024-10-13,26,108,204,16,0
2024-02-24,11,319,40,25,0
2024-07-28,19,100,173,14,0
2024-03-14,11,38,144,15,0
2024-12-10,12,210,110,47,0
2024-11-17,4,243,182,16,0
2024-03-15,22,261,157,12,0
2024-02-10,24,334,41,58,0
2024-03-26,27,252,116,54,0
2024-02-09,9,314,129,21,0
2024-05-16,12,47,67,33,0
2024-02-11,16,73,63,26,0
2024-06-10,2,88,108,26,0
2024-06-06,16,308,241,35,0
2024-06-15,14,274,0,23,1
2024-07-23,22,288,240,24,0
2024-04-24,16,295,86,53,0
2024-05-05,28,228,45,30,0
2024-06-04,11,352,105,39,0
2024-07-06,16,108,167,57,0
2024-12-09,28,207,20,40,0
2024-07-11,26,178,5,10,0
2024-01-24,20,19,157,12,0
2024-01-12,12,247,202,13,0
2024-09-05,5,360,211,41,0
2024-03-30,16,110,50,54,0
2024-08-04,25,44,196,37,0
2024-11-04,18,219,241,20,0
2024-07-17,14,147,203,18,0
2024-10-10,17,340,50,53,0
2024-09-10,2,227,127,13,0
2024-02-27,28,255,51,27,0
2024-05-17,10,275,83,18,0
2024-02-23,1,26,165,25,0
2024-06-26,24,400,181,45,0
2024-04-06,16,176,31,14,0
2024-05-08,9,210,158,50,0
2024-06-24,28,106,144,42,0
2024-07-09,27,69,17,27,0
2024-11-30,15,244,113,36,0
2024-07-21,23,254,216,23,0
2024-06-26,15,249,25,29,0
2024-10-22,10,173,62,42,0
2024-11-09,13,307,161,11,0
2024-04-11,19,180,180,44,0
2024-10-01,5,133,231,27,0
2024-01-24,1,63,4,31,0
2024-12-04,10,260,230,28,0
2024-10-09,5,226,238,35,0
2024-04-11,30,277,217,31,0
2024-07-25,15,107,38,24,0
2024-04-18,6,215,174,23,0
2024-02-22,11,255,164,12,0
2024-02-29,7,44,177,51,0
2024-07-29,3,199,177,13,0
2024-09-25,7,285,108,15,0
2024-08-24,12,169,127,35,0
2024-09-10,4,173,170,32,0
2024-06-19,19,155,99,36,0
2024-11-18,10,13,209,30,0
2024-04-13,20,174,217,30,0
2024-09-14,16,369,195,48,0
2024-09-16,5,98,235,26,0
2024-07-15,28,291,224,30,0
2024-12-15,14,68,216,58,0
2024-06-21,2,45,234,21,0
2024-11-27,21,95,97,39,0
2024-09-09,28,376,169,42,0
2024-05-24,29,12,132,43,0
2024-12-20,15,243,58,31,0
2024-06-23,24,182,120,32,0
2024-07-19,1,313,140,37,0
2024-05-14,15,227,213,23,0
2024-08-24,26,101,29,30,0
2024-01-31,15,198,13,11,0
2024-09-01,3,169,197,15,0
2024-05-12,2,77,68,34,0
2024-10-06,20,9,27,17,0
2024-09-29,7,142,19,17,0
